[0.160 -> 0.480] 陆 lu4
[38.080 -> 38.240] 学 xue2
[38.240 -> 38.480] 教 jiao4
[38.480 -> 38.720] 授 shou4
[38.720 -> 38.880] 了 le5
[39.680 -> 39.840] 我 wo3
[39.840 -> 40.080] 妈 ma1
[40.080 -> 40.240] 妈 ma1
[40.240 -> 40.480] 叫 jiao4
[40.480 -> 40.720] 丁 ding1
[40.720 -> 41.120] 云 yun2
[41.280 -> 41.520] 是 shi4
[41.520 -> 41.840] 中 zhong1
[41.840 -> 42.000] 国 guo2
[42.000 -> 42.320] 人 ren2
[43.120 -> 43.280] 他 ta1
[43.280 -> 43.440] 的 de5
[43.440 -> 43.680] 专 zhuan1
[43.680 -> 43.920] 业 ye4
[43.920 -> 44.160] 是 shi4
[44.160 -> 44.320] 美 mei3
[44.320 -> 44.480] 国 guo2
[44.480 -> 44.720] 文 wen2
[44.720 -> 45.040] 学 xue2
[45.280 -> 45.520] 现 xian4
[45.520 -> 45.760] 在 zai4
[45.760 -> 46.000] 在 zai4
[46.000 -> 46.240] 加 jia1
[46.240 -> 46.320] 拿 na2
[46.320 -> 46.640] 大 da4
[46.640 -> 46.880] 教 jiao4
[46.880 -> 47.200] 汉 han4
[47.200 -> 47.440] 语 yu3
[48.240 -> 48.320] 我 wo3
[48.320 -> 48.480] 们 men5
[48.480 -> 48.560] 一 yi4
[48.560 -> 48.800] 家 jia1
[48.800 -> 49.120] 人 ren2
[49.120 -> 49.360] 都 dou1
[49.360 -> 49.520] 喜 xi3
[49.520 -> 49.760] 欢 huan1
[49.760 -> 49.920] 中 zhong1
[50.000 -> 50.240] 文 wen2
[50.480 -> 50.720] 都 dou1
[50.720 -> 50.960] 说 shuo1
[50.960 -> 51.200] 中 zhong1
[51.200 -> 51.440] 文 wen2
[52.320 -> 52.560] 今 jin1
[52.560 -> 52.880] 年 nian2
[52.880 -> 52.960] 你 ni3
[52.960 -> 53.200] 在 zai4
[53.200 -> 53.520] 北 bei3
[53.520 -> 53.840] 京 jing1
[53.840 -> 54.080] 过 guo4
[54.080 -> 54.320] 圣 sheng4
[54.320 -> 54.560] 诞 dan4
[54.560 -> 54.960] 节 jie2
[55.280 -> 55.520] 是 shi4
[55.520 -> 55.680] 不 bu2
[55.680 -> 56.000] 是 shi4
[56.720 -> 56.960] 是 shi4
[56.960 -> 57.200] 啊 a5
[58.000 -> 58.240] 北 bei3
[58.240 -> 58.480] 京 jing1
[58.480 -> 58.720] 也 ye3
[58.720 -> 58.880] 是 shi4
[58.880 -> 59.040] 我 wo3
[59.040 -> 59.120] 的 de5
[59.120 -> 59.440] 家 jia1
[60.320 -> 60.480] 我 wo3
[60.480 -> 60.800] 哥 ge1
[60.800 -> 60.960] 哥 ge1
[60.960 -> 61.120] 和 he2
[61.120 -> 61.360] 弟 di4
[61.360 -> 61.680] 弟 di4
[61.760 -> 62.000] 都 dou1
[62.000 -> 62.240] 在 zai4
[62.240 -> 62.480] 北 bei3
[62.480 -> 62.720] 京 jing1
[63.600 -> 63.760] 弟 di4
[63.760 -> 64.000] 弟 di4
[64.000 -> 64.240] 跟 gen1
[64.240 -> 64.320] 我 wo3
[64.320 -> 64.560] 外 wai4
[64.560 -> 64.800] 婆 po2
[64.800 -> 64.960] 一 yi4
[64.960 -> 65.200] 起 qi3
[65.200 -> 65.440] 住 zhu4
[66.240 -> 66.560] 现 xian4
[66.560 -> 66.800] 在 zai4
[66.800 -> 66.960] 他 ta1
[66.960 -> 67.040] 们 men5
[67.040 -> 67.360] 回 hui2
[67.360 -> 67.600] 家 jia1
[67.600 -> 67.840] 拿 na2
[67.840 -> 68.160] 大 da4
[68.160 -> 68.400] 过 guo4
[68.400 -> 68.640] 节 jie2
[68.640 -> 68.800] 了 le5
[68.800 -> 69.040] 吗 ma5
[69.840 -> 70.080] 没 mei2
[70.080 -> 70.400] 有 you3
[71.200 -> 71.440] 弟 di4
[71.440 -> 71.680] 弟 di4
[71.680 -> 71.840] 没 mei2
[71.840 -> 72.080] 有 you3
[72.080 -> 72.240] 回 hui2
[72.240 -> 72.400] 加 jia1
[72.400 -> 72.640] 拿 na2
[72.640 -> 72.880] 大 da4
[73.120 -> 73.280] 他 ta1
[73.280 -> 73.440] 去 qu4
[73.440 -> 73.600] 旅 lv3
[73.600 -> 73.840] 行 xing2
[73.840 -> 74.080] 了 le5
[74.880 -> 75.120] 哥 ge1
[75.120 -> 75.360] 哥 ge1
[75.360 -> 75.520] 可 ke3
[75.520 -> 75.680] 能 neng2
[75.680 -> 75.920] 回 hui2
[75.920 -> 76.080] 国 guo2
[76.080 -> 76.400] 看 kan4
[76.400 -> 76.640] 爸 ba4
[76.640 -> 76.800] 爸 ba4
[76.800 -> 77.040] 妈 ma1
[77.040 -> 77.280] 妈 ma1
[77.520 -> 77.680] 他 ta1
[77.680 -> 77.840] 还 hai2
[77.840 -> 78.000] 没 mei2
[78.000 -> 78.160] 有 you3
[78.160 -> 78.400] 决 jue2
[78.400 -> 78.640] 定 ding4
[79.520 -> 79.680] 羽 yu3
[79.680 -> 80.160] 平 ping2
[80.640 -> 80.880] 中 zhong1
[80.880 -> 81.040] 国 guo2
[81.040 -> 81.360] 人 ren2
[81.360 -> 81.600] 是 shi4
[81.600 -> 81.760] 不 bu2
[81.760 -> 81.920] 是 shi4
[81.920 -> 82.240] 也 ye3
[82.240 -> 82.400] 过 guo4
[82.400 -> 82.640] 圣 sheng4
[82.640 -> 82.880] 诞 dan4
[82.880 -> 83.280] 节 jie2
[83.920 -> 84.160] 中 zhong1
[84.160 -> 84.480] 国 guo2
[84.480 -> 84.640] 最 zui4
[84.640 -> 84.800] 重 zhong4
[84.880 -> 85.040] 要 yao4
[85.040 -> 85.120] 的 de5
[85.120 -> 85.360] 节 jie2
[85.360 -> 85.600] 日 ri4
[85.600 -> 85.760] 是 shi4
[85.760 -> 86.080] 春 chun1
[86.080 -> 86.480] 节 jie2
[87.280 -> 87.520] 现 xian4
[87.520 -> 87.680] 在 zai4
[87.680 -> 87.920] 很 hen3
[87.920 -> 88.080] 多 duo1
[88.080 -> 88.320] 年 nian2
[88.320 -> 88.560] 轻 qing1
[88.560 -> 88.800] 人 ren2
[88.960 -> 89.120] 也 ye2
[89.120 -> 89.280] 喜 xi3
[89.280 -> 89.520] 欢 huan1
[89.520 -> 89.760] 过 guo4
[89.760 -> 90.000] 西 xi1
[90.000 -> 90.240] 方 fang1
[90.240 -> 90.320] 的 de5
[90.320 -> 90.560] 节 jie2
[90.560 -> 90.800] 日 ri4
[91.600 -> 91.760] 对 dui4
[91.760 -> 92.000] 了 le5
[92.160 -> 92.240] 我 wo3
[92.240 -> 92.400] 们 men5
[92.400 -> 92.480] 有 you3
[92.480 -> 92.640] 个 ge4
[92.640 -> 92.800] 美 mei3
[92.800 -> 92.960] 国 guo2
[92.960 -> 93.200] 朋 peng2
[93.200 -> 93.440] 友 you3
[93.760 -> 93.840] 我 wo3
[93.840 -> 94.000] 爱 ai4
[94.000 -> 94.400] 人 ren2
[94.400 -> 94.560] 让 rang4
[94.560 -> 94.640] 我 wo2
[94.640 -> 94.800] 给 gei3
[94.800 -> 94.960] 他 ta1
[94.960 -> 95.200] 儿 er2
[95.200 -> 95.440] 子 zi5
[95.600 -> 95.840] 买 mai3
[95.840 -> 96.000] 一 yi2
[96.000 -> 96.320] 件 jian4
[96.320 -> 96.640] 圣 sheng4
[96.640 -> 96.800] 诞 dan4
[96.800 -> 96.960] 礼 li3
[97.040 -> 97.280] 物 wu4
[98.080 -> 98.240] 你 ni3
[98.240 -> 98.640] 说 shuo1
[98.880 -> 99.040] 该 gai1
[99.040 -> 99.280] 买 mai3
[99.280 -> 99.440] 什 shen2
[99.440 -> 99.680] 么 me5
[100.480 -> 100.720] 他 ta1
[100.720 -> 100.960] 儿 er2
[100.960 -> 101.120] 子 zi5
[101.120 -> 101.360] 几 ji3
[101.360 -> 101.600] 岁 sui4
[101.600 -> 101.920] 了 le5
[102.720 -> 103.040] 六 liu4
[103.040 -> 103.280] 岁 sui4
[103.280 -> 103.440] 了 le5
[104.320 -> 104.560] 你 ni2
[104.560 -> 104.720] 给 gei3
[104.720 -> 104.800] 他 ta1
[104.800 -> 104.960] 买 mai3
[104.960 -> 105.120] 一 yi2
[105.120 -> 105.200] 个 ge4
[105.200 -> 105.440] 小 xiao3
[105.440 -> 105.600] 汽 qi4
[105.600 -> 105.840] 车 che1
[105.840 -> 106.160] 吧 ba5
[106.560 -> 106.880] 男 nan2
[106.880 -> 107.200] 孩 hai2
[107.200 -> 107.360] 子 zi5
[107.360 -> 107.520] 都 dou1
[107.520 -> 107.680] 喜 xi3
[107.680 -> 107.840] 欢 huan1
[107.840 -> 108.080] 汽 qi4
[108.080 -> 108.480] 车 che1
[109.040 -> 109.440] 好 hao3
[110.240 -> 110.480] 谢 xie4
[110.480 -> 110.640] 谢 xie4
[110.640 -> 110.960] 你 ni3
[111.760 -> 111.920] 我 wo3
