[0.240 -> 0.400] 陆 lu4
[21.840 -> 22.000] 他 ta1
[22.000 -> 22.160] 们 men5
[22.160 -> 22.400] 都 dou1
[22.400 -> 22.720] 很 hen2
[22.720 -> 23.040] 好 hao3
[23.360 -> 23.600] 谢 xie4
[23.600 -> 23.920] 谢 xie4
[24.640 -> 24.880] 听 ting1
[24.880 -> 25.120] 说 shuo1
[25.120 -> 25.280] 你 ni3
[25.280 -> 25.520] 爸 ba4
[25.520 -> 25.600] 爸 ba4
[25.600 -> 25.840] 妈 ma1
[25.840 -> 25.920] 妈 ma1
[25.920 -> 26.080] 的 de5
[26.080 -> 26.480] 专 zhuan1
[26.480 -> 26.880] 业 ye4
[26.960 -> 27.120] 也 ye3
[27.120 -> 27.280] 是 shi4
[27.280 -> 27.520] 中 zhong1
[27.520 -> 27.840] 文 wen2
[28.880 -> 29.040] 我 wo3
[29.040 -> 29.360] 爸 ba4
[29.360 -> 29.600] 爸 ba4
[29.600 -> 29.760] 是 shi4
[29.760 -> 30.000] 加 jia1
[30.000 -> 30.240] 拿 na2
[30.240 -> 30.560] 大 da4
[30.560 -> 30.880] 人 ren2
[31.120 -> 31.360] 中 zhong1
[31.360 -> 31.520] 文 wen2
[31.520 -> 31.760] 名 ming2
[31.760 -> 32.000] 字 zi4
[32.000 -> 32.160] 叫 jiao4
[32.160 -> 32.480] 古 gu3
[32.560 -> 32.800] 波 bo1
[33.600 -> 33.840] 他 ta1
[33.840 -> 34.000] 以 yi3
[34.000 -> 34.560] 前 qian2
[34.560 -> 34.720] 也 ye3
[34.720 -> 34.960] 在 zai4
[34.960 -> 35.120] 语 yu3
[35.120 -> 35.280] 言 yan2
[35.280 -> 35.520] 学 xue2
[35.520 -> 35.760] 院 yuan4
[35.760 -> 35.920] 学 xue2
[35.920 -> 36.320] 汉 han4
[36.320 -> 36.560] 语 yu3
[36.960 -> 37.200] 现 xian4
[37.200 -> 37.440] 在 zai4
[37.440 -> 37.920] 是 shi4
[38.080 -> 38.240] 中 zhong1
[38.240 -> 38.480] 国 guo2
[38.480 -> 38.640] 文 wen2
[38.640 -> 38.880] 学 xue2
[38.880 -> 39.120] 教 jiao4
[39.120 -> 39.360] 授 shou4
[39.360 -> 39.600] 了 le5
[40.400 -> 40.560] 我 wo3
[40.560 -> 40.800] 妈 ma1
[40.800 -> 41.040] 妈 ma1
[41.040 -> 41.280] 叫 jiao4
[41.280 -> 41.520] 丁 ding1
[41.520 -> 41.920] 云 yun2
[42.240 -> 42.480] 是 shi4
[42.480 -> 42.720] 中 zhong1
[42.720 -> 42.880] 国 guo2
[42.880 -> 43.120] 人 ren2
[44.000 -> 44.160] 他 ta1
[44.160 -> 44.320] 的 de5
[44.320 -> 44.640] 专 zhuan1
[44.640 -> 44.880] 业 ye4
[44.880 -> 45.120] 是 shi4
[45.120 -> 45.280] 美 mei3
[45.280 -> 45.520] 国 guo2
[45.520 -> 45.680] 文 wen2
[45.680 -> 46.080] 学 xue2
[46.560 -> 46.800] 现 xian4
[46.800 -> 47.120] 在 zai4
[47.120 -> 47.360] 在 zai4
[47.360 -> 47.600] 加 jia1
[47.600 -> 47.760] 拿 na2
[47.760 -> 48.000] 大 da4
[48.000 -> 48.240] 教 jiao4
[48.240 -> 48.560] 汉 han4
[48.560 -> 48.800] 语 yu3
[49.680 -> 49.760] 我 wo3
[49.760 -> 50.000] 们 men5
[50.000 -> 50.160] 一 yi4
[50.160 -> 50.400] 家 jia1
[50.400 -> 50.800] 人 ren2
[50.800 -> 50.960] 都 dou1
[50.960 -> 51.120] 喜 xi3
[51.120 -> 51.440] 欢 huan1
[51.440 -> 51.680] 中 zhong1
[51.680 -> 52.000] 文 wen2
[52.400 -> 52.560] 都 dou1
[52.560 -> 52.720] 说 shuo1
[52.720 -> 53.040] 中 zhong1
[53.040 -> 53.280] 文 wen2
[53.840 -> 54.080] 今 jin1
[54.080 -> 54.480] 年 nian2
[54.480 -> 54.560] 你 ni3
[54.560 -> 54.720] 在 zai4
[54.720 -> 54.960] 北 bei3
[54.960 -> 55.200] 京 jing1
[55.200 -> 55.360] 过 guo4
[55.360 -> 55.600] 圣 sheng4
[55.600 -> 55.840] 诞 dan4
[55.840 -> 56.320] 节 jie2
[56.560 -> 56.800] 是 shi4
[56.800 -> 56.880] 不 bu2
[56.880 -> 57.200] 是 shi4
[58.000 -> 58.240] 是 shi4
[58.240 -> 58.560] 啊 a5
[59.280 -> 59.520] 北 bei3
[59.520 -> 59.840] 京 jing1
[59.840 -> 60.000] 也 ye3
[60.000 -> 60.240] 是 shi4
[60.240 -> 60.400] 我 wo3
[60.400 -> 60.480] 的 de5
[60.480 -> 60.800] 家 jia1
[61.680 -> 61.840] 我 wo3
[61.840 -> 62.080] 哥 ge1
[62.080 -> 62.240] 哥 ge1
[62.240 -> 62.400] 和 he2
[62.400 -> 62.720] 弟 di4
[62.720 -> 63.040] 弟 di4
[63.200 -> 63.360] 都 dou1
[63.360 -> 63.520] 在 zai4
[63.520 -> 63.760] 北 bei3
[63.760 -> 64.080] 京 jing1
[64.880 -> 65.120] 弟 di4
[65.120 -> 65.280] 弟 di4
[65.280 -> 65.520] 跟 gen1
[65.520 -> 65.600] 我 wo3
[65.600 -> 65.840] 外 wai4
[65.840 -> 66.080] 婆 po2
[66.080 -> 66.240] 一 yi4
[66.240 -> 66.480] 起 qi3
[66.480 -> 66.720] 住 zhu4
[67.520 -> 67.920] 现 xian4
[67.920 -> 68.080] 在 zai4
[68.080 -> 68.240] 他 ta1
[68.240 -> 68.400] 们 men5
[68.400 -> 68.560] 回 hui2
[68.560 -> 68.800] 家 jia1
[68.800 -> 68.960] 拿 na2
[68.960 -> 69.120] 大 da4
[69.120 -> 69.360] 过 guo4
[69.360 -> 69.680] 节 jie2
[69.680 -> 69.760] 了 le5
[69.760 -> 70.160] 吗 ma5
[70.960 -> 71.200] 没 mei2
[71.200 -> 71.360] 有 you3
[72.160 -> 72.320] 弟 di4
[72.320 -> 72.560] 弟 di4
[72.560 -> 72.720] 没 mei2
[72.720 -> 72.880] 有 you3
[72.880 -> 73.040] 回 hui2
[73.040 -> 73.200] 家 jia1
[73.200 -> 73.440] 拿 na2
[73.440 -> 73.840] 大 da4
[74.160 -> 74.320] 他 ta1
[74.320 -> 74.480] 去 qu4
[74.480 -> 74.640] 旅 lv3
[74.640 -> 74.960] 行 xing2
[74.960 -> 75.120] 了 le5
[75.920 -> 76.160] 哥 ge1
[76.160 -> 76.480] 哥 ge1
[76.480 -> 76.720] 可 ke3
[76.720 -> 76.880] 能 neng2
[76.880 -> 77.120] 回 hui2
[77.120 -> 77.360] 国 guo2
[77.360 -> 77.600] 看 kan4
[77.600 -> 77.760] 爸 ba4
[77.760 -> 77.920] 爸 ba4
[77.920 -> 78.240] 妈 ma1
[78.240 -> 78.640] 妈 ma1
[79.200 -> 79.360] 他 ta1
[79.360 -> 79.520] 还 hai2
[79.520 -> 79.600] 没 mei2
[79.600 -> 79.760] 有 you3
[79.760 -> 80.000] 决 jue2
[80.000 -> 80.320] 定 ding4
[81.120 -> 81.280] 雨 yu3
[81.280 -> 81.840] 萍 ping2
[82.240 -> 82.400] 中 zhong1
[82.400 -> 82.560] 国 guo2
[82.560 -> 82.880] 人 ren2
[82.880 -> 83.040] 是 shi4
[83.040 -> 83.120] 不 bu2
[83.120 -> 83.280] 是 shi4
[83.280 -> 83.440] 也 ye3
[83.440 -> 83.600] 过 guo4
[83.600 -> 83.760] 圣 sheng4
[83.760 -> 84.080] 诞 dan4
[84.080 -> 84.480] 节 jie2
[84.960 -> 85.280] 中 zhong1
[85.280 -> 85.520] 国 guo2
[85.520 -> 85.760] 最 zui4
[85.760 -> 86.000] 重 zhong4
[86.000 -> 86.160] 要 yao4
[86.160 -> 86.240] 的 de5
[86.240 -> 86.640] 节 jie2
[86.640 -> 86.800] 日 ri4
[86.800 -> 87.040] 是 shi4
[87.040 -> 87.360] 春 chun1
[87.360 -> 87.680] 节 jie2
[88.480 -> 88.800] 现 xian4
[88.800 -> 88.960] 在 zai4
[88.960 -> 89.200] 很 hen3
[89.200 -> 89.360] 多 duo1
[89.360 -> 89.680] 年 nian2
[89.680 -> 90.000] 轻 qing1
[90.000 -> 90.400] 人 ren2
[90.560 -> 90.800] 也 ye2
[90.800 -> 90.960] 喜 xi3
[90.960 -> 91.280] 欢 huan1
[91.280 -> 91.440] 过 guo4
[91.440 -> 91.680] 西 xi1
[91.680 -> 91.920] 方 fang1
[91.920 -> 92.000] 的 de5
[92.000 -> 92.320] 节 jie2
[92.320 -> 92.480] 日 ri4
[93.360 -> 93.520] 对 dui4
[93.520 -> 93.920] 了 le5
[94.400 -> 94.560] 我 wo3
[94.560 -> 94.720] 们 men5
[94.720 -> 94.880] 有 you3
[94.880 -> 94.960] 个 ge4
[94.960 -> 95.200] 美 mei3
[95.200 -> 95.360] 国 guo2
[95.360 -> 95.680] 朋 peng2
[95.680 -> 96.000] 友 you3
[96.560 -> 96.640] 我 wo3
[96.640 -> 96.960] 爱 ai4
[96.960 -> 97.200] 人 ren2
[97.200 -> 97.360] 让 rang4
[97.360 -> 97.520] 我 wo2
[97.520 -> 97.680] 给 gei3
[97.680 -> 97.840] 他 ta1
[97.840 -> 98.080] 儿 er2
[98.080 -> 98.400] 子 zi5
[98.560 -> 98.800] 买 mai3
[98.800 -> 98.960] 一 yi2
[98.960 -> 99.120] 件 jian4
[99.120 -> 99.440] 圣 sheng4
[99.440 -> 99.600] 诞 dan4
[99.600 -> 99.840] 礼 li3
[99.840 -> 100.080] 物 wu4
[101.040 -> 101.200] 你 ni3
[101.200 -> 101.760] 说 shuo1
[102.240 -> 102.320] 该 gai1
[102.320 -> 102.560] 买 mai3
[102.560 -> 102.800] 什 shen2
[102.800 -> 103.040] 么 me5
[103.680 -> 103.920] 他 ta1
[103.920 -> 104.160] 儿 er2
[104.160 -> 104.320] 子 zi5
[104.320 -> 104.480] 几 ji3
[104.480 -> 104.800] 岁 sui4
[104.800 -> 105.120] 了 le5
[105.680 -> 105.840] 六 liu4
[105.840 -> 106.080] 岁 sui4
[106.080 -> 106.400] 了 le5
[107.120 -> 107.280] 你 ni2
[107.280 -> 107.440] 给 gei3
[107.440 -> 107.600] 他 ta1
[107.600 -> 107.840] 买 mai3
[107.840 -> 107.840] 一 yi2
[107.840 -> 108.000] 个 ge4
[108.000 -> 108.240] 小 xiao3
[108.240 -> 108.400] 汽 qi4
[108.400 -> 108.720] 车 che1
[108.720 -> 109.120] 吧 ba5
[109.600 -> 109.760] 男 nan2
[109.760 -> 110.000] 孩 hai2
[110.000 -> 110.160] 子 zi5
[110.160 -> 110.320] 都 dou1
[110.320 -> 110.480] 喜 xi3
[110.480 -> 110.720] 欢 huan1
[110.720 -> 110.960] 汽 qi4
[110.960 -> 111.360] 车 che1
[112.320 -> 112.800] 好 hao3
[113.520 -> 113.760] 谢 xie4
[113.760 -> 114.000] 谢 xie4
[114.000 -> 114.160] 你 ni3
